city,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
qitaihe,2016-01-01,轻度污染,137,231,103,130,42,37,1.60,41
qitaihe,2016-01-02,轻度污染,113,156,84,103,26,16,1.17,49
qitaihe,2016-01-03,良,77,87,56,64,21,17,0.92,45
qitaihe,2016-01-04,良,86,154,63,68,22,18,0.96,51
qitaihe,2016-01-05,优,48,82,30,40,22,16,0.75,51
qitaihe,2016-01-06,优,37,43,20,34,19,15,0.71,52
qitaihe,2016-01-07,优,36,30,22,35,19,13,0.69,43
qitaihe,2016-01-08,良,51,86,35,46,20,14,0.70,41
qitaihe,2016-01-09,优,50,65,34,43,21,15,0.68,42
qitaihe,2016-01-10,优,39,37,26,31,18,11,0.57,45
qitaihe,2016-01-11,良,56,149,38,51,24,19,0.74,41
qitaihe,2016-01-12,优,47,111,30,47,20,14,0.69,43
qitaihe,2016-01-13,良,55,112,38,46,22,15,0.79,42
qitaihe,2016-01-14,良,81,174,59,67,27,22,1.04,36
qitaihe,2016-01-15,良,100,198,74,108,27,24,1.40,31
qitaihe,2016-01-16,轻度污染,121,231,89,111,23,21,1.41,29
qitaihe,2016-01-17,良,97,215,71,56,28,20,1.10,44
qitaihe,2016-01-18,良,63,141,41,60,22,18,0.85,38
qitaihe,2016-01-19,优,41,34,21,40,17,9,0.55,44
qitaihe,2016-01-20,良,64,118,44,55,24,12,0.72,42
qitaihe,2016-01-21,良,88,257,65,66,26,20,0.88,44
qitaihe,2016-01-22,良,85,264,62,67,21,19,0.90,42
qitaihe,2016-01-23,良,83,310,60,68,32,19,0.79,49
qitaihe,2016-01-24,良,75,319,53,64,39,19,0.76,55
qitaihe,2016-01-25,良,75,267,48,71,30,22,0.83,49
qitaihe,2016-01-26,良,92,285,66,80,20,24,1.25,46
qitaihe,2016-01-27,良,65,121,47,51,26,22,0.92,42
qitaihe,2016-01-28,良,64,139,46,36,22,20,0.76,46
qitaihe,2016-01-29,良,63,160,45,40,19,22,0.84,39
qitaihe,2016-01-30,良,87,238,63,67,19,24,1.11,39
qitaihe,2016-01-31,良,76,227,55,55,29,17,0.76,51
qitaihe,2016-02-01,良,62,136,44,39,25,17,0.77,50
qitaihe,2016-02-02,良,70,115,50,46,24,19,0.85,54
qitaihe,2016-02-03,轻度污染,112,237,84,105,22,32,1.70,55
qitaihe,2016-02-04,轻度污染,135,293,101,71,24,23,1.25,71
qitaihe,2016-02-05,良,82,198,60,45,17,18,0.86,68
qitaihe,2016-02-06,良,60,134,42,45,19,15,0.92,61
qitaihe,2016-02-07,良,55,46,39,40,20,17,0.76,63
qitaihe,2016-02-08,良,54,17,38,42,24,16,0.71,51
qitaihe,2016-02-09,良,78,147,57,57,25,15,0.90,59
qitaihe,2016-02-10,良,88,230,64,79,20,23,1.36,61
qitaihe,2016-02-11,良,55,111,38,44,20,24,0.83,77
qitaihe,2016-02-12,良,51,85,32,38,18,16,0.67,69
qitaihe,2016-02-13,优,49,160,34,28,16,12,0.78,49
qitaihe,2016-02-14,优,32,50,18,16,14,8,0.46,64
qitaihe,2016-02-15,优,38,97,20,21,15,9,0.48,78
qitaihe,2016-02-16,优,42,86,26,26,15,10,0.60,71
qitaihe,2016-02-17,优,39,21,21,19,19,10,0.48,66
qitaihe,2016-02-18,优,46,31,30,28,31,19,0.83,58
qitaihe,2016-02-19,优,38,15,25,28,31,15,0.69,70
qitaihe,2016-02-20,优,42,32,24,33,29,12,0.56,69
qitaihe,2016-02-21,良,52,49,36,36,29,20,0.95,59
qitaihe,2016-02-22,良,52,57,36,42,30,17,0.82,65
qitaihe,2016-02-23,优,38,47,25,25,20,12,0.59,60
qitaihe,2016-02-24,优,39,54,25,30,18,16,0.74,51
qitaihe,2016-02-25,良,53,86,36,38,18,19,0.96,50
qitaihe,2016-02-26,优,48,78,32,34,16,20,0.87,53
qitaihe,2016-02-27,优,48,65,33,34,16,20,1.03,56
qitaihe,2016-02-28,良,51,69,34,34,17,20,1.02,59
qitaihe,2016-02-29,优,45,52,28,24,17,17,0.78,56
qitaihe,2016-03-01,优,46,37,31,36,19,16,0.82,56
qitaihe,2016-03-02,良,71,87,51,64,18,21,0.94,63
qitaihe,2016-03-03,良,88,164,64,78,20,25,1.08,65
qitaihe,2016-03-04,良,55,44,37,48,17,19,0.82,68
qitaihe,2016-03-05,优,42,20,23,33,20,18,0.63,64
qitaihe,2016-03-06,良,90,147,34,127,19,16,0.67,58
qitaihe,2016-03-07,优,35,12,20,25,19,13,0.60,65
qitaihe,2016-03-08,优,41,50,26,32,18,15,0.56,64
qitaihe,2016-03-09,优,42,154,22,38,18,13,0.47,62
qitaihe,2016-03-10,优,39,96,24,33,19,15,0.54,64
qitaihe,2016-03-11,优,48,84,29,40,19,19,0.54,62
qitaihe,2016-03-12,优,43,28,25,33,20,14,0.49,79
qitaihe,2016-03-13,优,46,64,22,41,20,13,0.50,76
qitaihe,2016-03-14,优,46,55,27,38,17,18,0.59,71
qitaihe,2016-03-15,良,52,29,33,54,18,30,0.96,57
qitaihe,2016-03-16,良,62,85,41,69,20,21,1.05,83
qitaihe,2016-03-17,良,85,158,62,108,20,33,1.18,83
qitaihe,2016-03-18,良,82,140,58,73,17,23,0.78,65
qitaihe,2016-03-19,优,36,13,23,22,14,18,0.59,51
qitaihe,2016-03-20,优,39,21,20,32,14,21,0.60,48
qitaihe,2016-03-21,优,45,60,25,42,15,22,0.59,46
qitaihe,2016-03-22,优,50,97,24,51,15,19,0.53,48
qitaihe,2016-03-23,优,45,104,21,46,14,18,0.55,46
qitaihe,2016-03-24,优,50,141,27,52,15,21,0.63,40
qitaihe,2016-03-25,良,57,130,29,63,15,22,0.73,44
qitaihe,2016-03-26,良,69,173,43,81,16,25,0.99,48
qitaihe,2016-03-27,良,52,49,24,55,14,18,0.55,55
qitaihe,2016-03-28,良,82,202,54,88,18,26,0.78,60
qitaihe,2016-03-29,轻度污染,101,296,54,148,18,20,0.68,72
qitaihe,2016-03-30,良,90,218,50,120,15,23,0.62,49
qitaihe,2016-03-31,良,97,240,72,108,15,27,0.75,67
qitaihe,2016-04-01,良,95,226,50,128,15,22,0.64,78
qitaihe,2016-04-02,良,63,110,27,76,11,17,0.56,64
qitaihe,2016-04-03,良,64,237,23,76,14,15,0.54,67
qitaihe,2016-04-04,良,67,225,40,78,15,21,0.69,69
qitaihe,2016-04-05,良,55,123,37,49,14,21,0.55,63
qitaihe,2016-04-06,良,62,211,38,63,17,24,0.93,64
qitaihe,2016-04-07,良,92,294,43,126,17,18,0.57,76
qitaihe,2016-04-08,良,93,278,40,128,18,20,0.57,66
qitaihe,2016-04-09,良,59,158,34,61,13,12,0.41,67
